Time,level,is_pump_on,is_upper_sensor_active,is_lower_sensor_active,is_overflowing,is_empty
2026-02-11 00:36:41.177012,47.5,True,False,True,False,False
2026-02-11 00:36:41.677538,50.0,True,False,True,False,False
2026-02-11 00:36:42.178147,52.5,True,False,True,False,False
2026-02-11 00:36:42.678834,55.0,True,False,True,False,False
2026-02-11 00:36:43.179340,57.5,True,False,True,False,False
2026-02-11 00:36:43.680060,60.0,True,False,True,False,False
2026-02-11 00:36:44.180695,62.5,True,False,True,False,False
2026-02-11 00:36:44.681141,65.0,True,False,True,False,False
2026-02-11 00:36:45.181795,67.5,True,False,True,False,False
2026-02-11 00:36:45.682365,70.0,True,False,True,False,False
2026-02-11 00:36:46.183108,72.5,True,False,True,False,False
2026-02-11 00:36:46.683803,75.0,True,True,True,False,False
2026-02-11 00:36:47.184500,72.5,False,False,True,False,False
2026-02-11 00:36:47.685129,70.0,False,False,True,False,False
2026-02-11 00:36:48.185590,67.5,False,False,True,False,False
2026-02-11 00:36:48.686267,65.0,False,False,True,False,False
2026-02-11 00:36:49.186894,62.5,False,False,True,False,False
2026-02-11 00:36:49.687385,60.0,False,False,True,False,False
2026-02-11 00:36:50.187944,57.5,False,False,True,False,False
2026-02-11 00:36:50.688502,55.0,False,False,True,False,False
2026-02-11 00:36:51.188989,52.5,False,False,True,False,False
2026-02-11 00:36:51.689545,50.0,False,False,True,False,False
2026-02-11 00:36:52.190049,47.5,False,False,True,False,False
2026-02-11 00:36:52.690759,45.0,False,False,True,False,False
2026-02-11 00:36:53.191326,42.5,False,False,True,False,False
2026-02-11 00:36:53.691792,40.0,False,False,True,False,False
2026-02-11 00:36:54.192473,37.5,False,False,True,False,False
2026-02-11 00:36:54.693130,35.0,False,False,True,False,False
2026-02-11 00:36:55.193799,32.5,False,False,True,False,False
2026-02-11 00:36:55.694477,30.0,False,False,True,False,False
2026-02-11 00:36:56.194897,27.5,False,False,True,False,False
2026-02-11 00:36:56.695618,25.0,False,False,True,False,False
2026-02-11 00:36:57.196261,22.5,False,False,False,False,False
2026-02-11 00:36:57.696919,25.0,True,False,True,False,False
2026-02-11 00:36:58.197525,27.5,True,False,True,False,False
2026-02-11 00:36:58.698204,30.0,True,False,True,False,False
2026-02-11 00:36:59.198834,32.5,True,False,True,False,False
2026-02-11 00:36:59.699488,35.0,True,False,True,False,False
2026-02-11 00:37:00.200006,37.5,True,False,True,False,False
2026-02-11 00:37:00.700707,40.0,True,False,True,False,False
2026-02-11 00:37:01.201415,42.5,True,False,True,False,False
2026-02-11 00:37:01.701899,45.0,True,False,True,False,False
2026-02-11 00:37:02.202462,47.5,True,False,True,False,False
2026-02-11 00:37:02.703196,50.0,True,False,True,False,False
2026-02-11 00:37:03.203723,52.5,True,False,True,False,False
2026-02-11 00:37:03.704345,55.0,True,False,True,False,False
2026-02-11 00:37:04.204975,57.5,True,False,True,False,False
2026-02-11 00:37:04.705794,60.0,True,False,True,False,False
2026-02-11 00:37:05.206354,62.5,True,False,True,False,False
2026-02-11 00:37:05.707095,65.0,True,False,True,False,False
2026-02-11 00:37:06.207729,67.5,True,False,True,False,False
2026-02-11 00:37:06.708364,70.0,True,False,True,False,False
2026-02-11 00:37:07.209027,72.5,True,False,True,False,False
2026-02-11 00:37:07.709618,75.0,True,True,True,False,False
2026-02-11 00:37:08.210316,72.5,False,False,True,False,False
2026-02-11 00:37:08.711012,70.0,False,False,True,False,False
2026-02-11 00:37:09.211715,67.5,False,False,True,False,False
2026-02-11 00:37:09.712370,65.0,False,False,True,False,False
2026-02-11 00:37:10.212813,62.5,False,False,True,False,False
2026-02-11 00:37:10.713379,60.0,False,False,True,False,False
2026-02-11 00:37:11.214004,57.5,False,False,True,False,False
2026-02-11 00:37:11.714534,55.0,False,False,True,False,False
2026-02-11 00:37:12.215225,52.5,False,False,True,False,False
2026-02-11 00:37:12.715693,50.0,False,False,True,False,False
2026-02-11 00:37:13.216403,47.5,False,False,True,False,False
2026-02-11 00:37:13.717066,45.0,False,False,True,False,False
2026-02-11 00:37:14.217742,42.5,False,False,True,False,False
2026-02-11 00:37:14.718425,40.0,False,False,True,False,False
2026-02-11 00:37:15.218961,37.5,False,False,True,False,False
2026-02-11 00:37:15.719414,35.0,False,False,True,False,False
2026-02-11 00:37:16.220023,32.5,False,False,True,False,False
2026-02-11 00:37:16.720703,30.0,False,False,True,False,False
2026-02-11 00:37:17.221404,27.5,False,False,True,False,False
2026-02-11 00:37:17.722017,25.0,False,False,True,False,False
2026-02-11 00:37:18.222861,22.5,False,False,False,False,False
2026-02-11 00:37:18.723456,25.0,True,False,True,False,False
2026-02-11 00:37:19.224168,27.5,True,False,True,False,False
2026-02-11 00:37:19.724655,30.0,True,False,True,False,False
2026-02-11 00:37:20.225214,32.5,True,False,True,False,False
2026-02-11 00:37:20.725913,35.0,True,False,True,False,False
2026-02-11 00:37:21.226569,37.5,True,False,True,False,False
2026-02-11 00:37:21.727246,40.0,True,False,True,False,False
2026-02-11 00:37:22.227690,42.5,True,False,True,False,False
2026-02-11 00:37:22.728328,45.0,True,False,True,False,False
2026-02-11 00:37:23.228776,47.5,True,False,True,False,False
2026-02-11 00:37:23.729476,50.0,True,False,True,False,False
2026-02-11 00:37:24.230036,52.5,True,False,True,False,False
